,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
16,,"Loli Con","2020-11-24 04:53:38",2,no,no,"Qualcomm : masih gua pantau....",UCj_9znft7BGVfAwfPMza6Iw,UgwEbVYHqZE1djtK23t4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgwEbVYHqZE1djtK23t4AaABAg
17,,"Prasetyo Paembonan","2020-11-24 06:11:49",3,no,no,"menurut gua sih banyak orang yang salah kaprah kalau apple gambling dengan M1 dan ekosistem barunya. Karena 1 hal  yang kita lupa, Apple ibarat kiblat teknologi dari dulu, dan developer dari dulu very loyal banget sangat ekosistem apple karena as we know kebanyakan prouductivity user like Fotografer, Orang IT semua pake apple jadi sudah pasti begitu apple berubah mereka juga pasti memprioritaskan untuk mengoptimize apple terlebih dahulu.Dan juga kalaupun apple M1 tidak laku seperti generasi sebelumnya yah bukan karena jelek tapi menunggu generasi ke 2 atau ke 3 yang pasti jauh lebih baik dari generasi 1 yang ibaratnya trial product yang dilempar ke masyarakat. Dan soal ARM atau X86 mana yang lebih unggul, ARM sampai sekarang semakin mendekati X86, bahkan terkadang SOC berbasis ARM bisa mengguli CPU X86 dalam beberapa test mau secara Benchmar, atau Penggunaan productivity nyata. Seperti M1 yang bahkan mengalahkan time render 4K di final cut pro atau adobe premiere 2 atau 3 kali lebih cepat.",UCfUx7DVrLoMIBjDIWai7aIg,UgxtsTtkQJSp4eL2LJN4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgxtsTtkQJSp4eL2LJN4AaABAg
18,,"Bayu Rizky Armanda","2020-11-24 07:03:10",0,no,no,"Apakah Qualcomm Snapdragon windows dengan Apple m1 macbook bisa seoptimal x86-64",UCb_swdQBuIzQwhCasg93HtQ,UgxYydpK169gdsYyKS54AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgxYydpK169gdsYyKS54AaABAg
19,,AbdMD,"2020-11-24 08:03:40",0,no,no,"waduh jonn jonn wkwkwkw",UCBA18eOGtWQBm3wO1epVtKQ,Ugx9nq4-d7MObKg4MxF4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=Ugx9nq4-d7MObKg4MxF4AaABAg
20,,"Muhammad Alim Adriansyah","2020-11-24 11:25:28",13,no,no,"apple selalu punya pasar nya sendiri sih, mau apple bikin sempak gw yakin juga ada yang beli",UC8FN5w3MAZulDQvZADAjYDA,UgzjwAlaWxnS2w2NDLd4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgzjwAlaWxnS2w2NDLd4AaABAg
21,,"Nanda Ermaldi","2020-11-24 11:55:04",0,no,no,"kalo misalnya adobe dan software lainnya di M1 udah arm compitible bisa jadi nanti yang arm buat windows jadi naik lagi soalnya base mereka udah ARM compitable, mungkin aja windows arm naik lagi karena softwarenya udah ada.",UCKc-Ur7vZlBN7XMv959DR3w,UgzvSJZK4VbZYWqQpfh4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgzvSJZK4VbZYWqQpfh4AaABAg
22,,"Mukhotob Hamzah","2020-11-24 12:43:46",0,no,no,5:45,UCZeorZs0j2-DmKuQtuVvWgQ,Ugxh9uszrILuZAY0uyp4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=Ugxh9uszrILuZAY0uyp4AaABAg
23,,"Faisal Habibie","2020-11-24 13:44:33",0,no,no,"dalam beberapa tahun, mungkin kita akan melupakan intel seperti halnya blackberry dan nokia.",UCNDA5Ro4U8yI5X2AWeXqIEQ,UgwYY1lLcUeuGTTlJtp4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgwYY1lLcUeuGTTlJtp4AaABAg
24,,"Zaid Channel","2020-11-25 01:31:21",0,no,no,"Bang, ane kn ngerakit PC pake panduan bang subki jajan ke enter https://youtu.be/4QCHPAJ31bA
Ane nyari gtx 1660 ga nemu aja. Nemunya 1660 super, PSU yg ane pke MWE 450, kalo ane pke 1660 super itu PSU nya bakal ngangkat ga yah? Mau beli VGA jadi ragu, tapi mau beli yg dibawah 1660 nanggung 🥺",UCha5HckKbiQEyuBSj_0gsDQ,Ugx7_xg_rbk-Ii1iC-J4AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=Ugx7_xg_rbk-Ii1iC-J4AaABAg
25,,"NAMS Videography","2020-11-25 01:31:27",0,no,no,"Gabisa bayangin besok lama lama bukan lagi Laptop yang pake SoC tapi PC pake SoC😌",UCo2TxUu3jfRPPX4r6QTZmQQ,UgzzhVRB9XJ1OzmoGV94AaABAg,https://www.youtube.com/watch?v=EJ_Rm7a7tKc&lc=UgzzhVRB9XJ1OzmoGV94AaABAg
